ID1,Director,ID2,Cast
1,Julien Leclercq,1,Sami Bouajila
2,Julien Leclercq,2,Tracy Gotoas
3,Julien Leclercq,3,Samuel Jouy
4,Julien Leclercq,4,Nabiha Akkari
5,Julien Leclercq,5,Sofia Lesaffre
6,Julien Leclercq,6,Salim Kechiouche
7,Julien Leclercq,7,Noureddine Farihi
8,Julien Leclercq,8,Geert Van Rampelberg
9,Julien Leclercq,9,Bakary Diombera
10,Mike Flanagan,10,Kate Siegel
11,Mike Flanagan,11,Zach Gilford
12,Mike Flanagan,12,Hamish Linklater
13,Mike Flanagan,13,Henry Thomas
14,Mike Flanagan,14,Kristin Lehman
15,Mike Flanagan,15,Samantha Sloyan
16,Mike Flanagan,16,Igby Rigney
17,Mike Flanagan,17,Rahul Kohli
18,Mike Flanagan,18,Annarah Cymone
19,Mike Flanagan,19,Annabeth Gish
20,Mike Flanagan,20,Alex Essoe
21,Mike Flanagan,21,Rahul Abburi
22,Mike Flanagan,22,Matt Biedel
23,Mike Flanagan,23,Michael Trucco
24,Mike Flanagan,24,Crystal Balint
25,Mike Flanagan,25,Louis Oliver
26,Robert Cullen,26,Vanessa Hudgens
27,José Luis Ucha,27,Vanessa Hudgens
28,Robert Cullen,28,Kimiko Glenn
29,José Luis Ucha,29,Kimiko Glenn
30,Robert Cullen,30,James Marsden
31,José Luis Ucha,31,James Marsden
32,Robert Cullen,32,Sofia Carson
33,José Luis Ucha,33,Sofia Carson
34,Robert Cullen,34,Liza Koshy
35,José Luis Ucha,35,Liza Koshy
36,Robert Cullen,36,Ken Jeong
37,José Luis Ucha,37,Ken Jeong
38,Robert Cullen,38,Elizabeth Perkins
39,José Luis Ucha,39,Elizabeth Perkins
40,Robert Cullen,40,Jane Krakowski
41,José Luis Ucha,41,Jane Krakowski
42,Robert Cullen,42,Michael McKean
43,José Luis Ucha,43,Michael McKean
44,Robert Cullen,44,Phil LaMarr
45,José Luis Ucha,45,Phil LaMarr
46,Haile Gerima,46,Kofi Ghanaba
47,Haile Gerima,47,Oyafunmike Ogunlano
48,Haile Gerima,48,Alexandra Duah
49,Haile Gerima,49,Nick Medley
50,Haile Gerima,50,Mutabaruka
51,Haile Gerima,51,Afemo Omilami
52,Haile Gerima,52,Reggie Carter
53,Haile Gerima,53,Mzuri
54,Andy Devonshire,54,Mel Giedroyc
55,Andy Devonshire,55,Sue Perkins
56,Andy Devonshire,56,Mary Berry
57,Andy Devonshire,57,Paul Hollywood
58,Theodore Melfi,58,Melissa McCarthy
59,Theodore Melfi,59,Chris O'Dowd
60,Theodore Melfi,60,Kevin Kline
61,Theodore Melfi,61,Timothy Olyphant
62,Theodore Melfi,62,Daveed Diggs
63,Theodore Melfi,63,Skyler Gisondo
64,Theodore Melfi,64,Laura Harrier
65,Theodore Melfi,65,Rosalind Chao
66,Theodore Melfi,66,Kimberly Quinn
67,Theodore Melfi,67,Loretta Devine
68,Theodore Melfi,68,Ravi Kapoor
69,Kongkiat Komesiri,69,Sukollawat Kanarot
70,Kongkiat Komesiri,70,Sushar Manaying
71,Kongkiat Komesiri,71,Pavarit Mongkolpisit
72,Kongkiat Komesiri,72,Sahajak Boonthanakit
73,Kongkiat Komesiri,73,Suthipongse Thatphithakkul
74,Kongkiat Komesiri,74,Bhasaworn Bawronkirati
75,Kongkiat Komesiri,75,Daweerit Chullasapya
76,Kongkiat Komesiri,76,Waratthaya Wongchayaporn
77,Kongkiat Komesiri,77,Kittiphoom Wongpentak
78,Kongkiat Komesiri,78,Abhicha Thanachanun
79,Kongkiat Komesiri,79,Nophand Boonyai
80,Kongkiat Komesiri,80,Kittipong Khamsat
81,Kongkiat Komesiri,81,Arisara Wongchalee
82,Kongkiat Komesiri,82,Jaytiya Naiwattanakul
83,Kongkiat Komesiri,83,Pantipa Arunwattanachai
84,Kongkiat Komesiri,84,Panupan Jantanawong
